EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1287090,Closed Courts,46821,Closed Courts,2025-07-03T07:00:00,2025-07-03T09:00:00,37452126,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-03T07:00:00,2025-07-03T09:00:00,40294319,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1389575,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-03T09:00:00,2025-07-03T11:00:00,37451694,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389629,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-03T09:00:00,2025-07-03T11:00:00,37452676,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389693,Advanced Beginner Open Play,40470,Advanced Beginner,2025-07-03T09:00:00,2025-07-03T11:00:00,37454331,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1389743,Intro to Pickleball,61814,Intro to Pickleball,2025-07-03T10:00:00,2025-07-03T11:00:00,37455642,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-03T11:00:00,2025-07-03T13:00:00,37453990,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389699,Advanced Beginner Open Play,40470,Advanced Beginner,2025-07-03T11:00:00,2025-07-03T13:00:00,37454471,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-07-03T11:00:00,2025-07-03T13:00:00,37658247,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1389645,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-03T13:00:00,2025-07-03T15:00:00,37453162,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-03T15:00:00,2025-07-03T17:00:00,37453249,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389832,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-03T17:00:00,2025-07-03T19:00:00,37458006,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389853,3.75+ Open Play,47676,Low Advanced,2025-07-03T18:00:00,2025-07-03T20:00:00,37458749,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389856,Open Play High Intermediate 3.5,40471, High Intermediate,2025-07-03T18:00:00,2025-07-03T20:00:00,37458788,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1382647,Cross Club 4.0-4.5 Tryout,51017,Cross Club Events,2025-07-03T19:00:00,2025-07-03T21:00:00,37223179,#eae323,#100f0f,False,REDACTED,,16.0,,[],[],[]
1389843,4.0 Open Play,40425,Advanced,2025-07-03T20:00:00,2025-07-03T22:00:00,37458343,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1382678,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-03T21:00:00,2025-07-03T23:59:00,37223765,#74d600,#000000,False,REDACTED,,12.0,,[],[],[]
1396029,ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-03T22:00:00,2025-07-03T23:59:00,37668217,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389702,4.0 Open Play,40425,Advanced,2025-07-04T07:00:00,2025-07-04T09:00:00,37454601,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389705,3.75+ Open Play,47676,Low Advanced,2025-07-04T07:00:00,2025-07-04T09:00:00,37454668,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1389575,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-04T09:00:00,2025-07-04T11:00:00,37451695,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1400134,3.75+ Open Play,47676,Low Advanced,2025-07-04T09:00:00,2025-07-04T11:00:00,37795443,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1389645,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-04T11:00:00,2025-07-04T13:00:00,37453163,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-04T11:00:00,2025-07-04T13:00:00,37453991,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1398026, Closed Courts,46821,Closed Courts,2025-07-04T13:00:00,2025-07-04T23:59:00,37734731,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1389816,4.25 Open Play,69929,Invitation Only Group,2025-07-05T07:00:00,2025-07-05T09:00:00,37457608,#95002a,#ffffff,False,REDACTED,,10.0,,[],[],[]
