TransactionId,TransactionType,TransactionDate,Subtotal,TaxTotal,Total,UnpaidAmount,PainOn,PaymentType,Category,ReservationStart,ReservationEnd,Instructors,OrganizationMemberId,OrganizationFirstName,OrganizationLastName,OrganizationMemberEmail,OrganizationMemberPhone,AccountCreationDate
65996972,Payment,2025-07-20T10:23:32.217,5.0,0.0,-5.0,0.0,2025-07-20T10:23:32.217,Credit Card,Reserve Court: Doubles,2025-07-20T09:00:00,2025-07-20T11:00:00,REDACTED,4620173.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-05-07T20:02:05.693
65997017,Payment,2025-07-20T10:24:10.543,15.0,0.0,-15.0,0.0,2025-07-20T10:24:10.543,Credit Card,All Levels w/ Challenge Court - ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,2025-07-17T22:00:00,2025-07-17T23:59:00,REDACTED,7019922.0,REDACTED,REDACTED,REDACTED,REDACTED,2025-04-12T14:26:20.603
65997026,Payment,2025-07-20T10:24:18.937,5.0,0.0,-5.0,0.0,2025-07-20T10:24:18.937,Credit Card,Reserve Court: Doubles,2025-07-20T09:00:00,2025-07-20T11:00:00,REDACTED,5156421.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-03T23:49:34.323
65997033,Payment,2025-07-20T10:24:25.593,5.0,0.0,-5.0,0.0,2025-07-20T10:24:25.593,Credit Card,Reserve Court: Doubles,2025-07-20T07:00:00,2025-07-20T09:00:00,REDACTED,5156421.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-03T23:49:34.323
65997056,Payment,2025-07-20T10:24:49.147,5.0,0.0,-5.0,0.0,2025-07-20T10:24:49.147,Credit Card,Reserve Court: Doubles,2025-07-20T09:00:00,2025-07-20T11:00:00,REDACTED,4473100.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-04-07T16:10:12.43
65997684,Fee,2025-07-20T10:33:11.093,5.0,0.0,5.0,0.0,2025-07-20T12:13:09.37,Credit Card,Reserve Court: Singles,2025-07-20T09:00:00,2025-07-20T10:00:00,REDACTED,5159887.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-04T17:19:12.56
65997864,Fee,2025-07-20T10:35:09.667,5.0,0.0,5.0,0.0,2025-07-20T12:17:52.12,Credit Card, High Intermediate - 3.5 - 3.5+ Open Play,2025-07-20T11:00:00,2025-07-20T13:00:00,REDACTED,5159887.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-08-04T17:19:12.56
65998626,Fee,2025-07-20T10:45:40.33,0.0,0.0,0.0,0.0,,,Intermediate - 3.0 - 3.5 Open Play,2025-07-20T11:00:00,2025-07-20T13:00:00,REDACTED,4530067.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-04-20T12:51:41.73
65998744,Fee,2025-07-20T10:47:14.137,0.0,0.0,0.0,0.0,,,Intermediate - 3.0 - 3.5 Open Play,2025-07-20T11:00:00,2025-07-20T13:00:00,REDACTED,4629534.0,REDACTED,REDACTED,REDACTED,REDACTED,2024-05-09T19:52:42.857
65999191,Fee,2025-07-20T10:52:21.33,5.0,0.0,5.0,0.0,2025-07-21T17:59:39.617,Credit Card, High Intermediate - 3.5 - 3.5+ Open Play,2025-07-21T18:00:00,2025-07-21T20:00:00,REDACTED,3732462.0,REDACTED,REDACTED,REDACTED,REDACTED,2023-11-08T16:09:15.41
