Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
36598889,64158,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court #2,REDACTED,False,2025-06-07T10:00:00,2025-06-07T11:00:00,2025-06-05T15:05:36.267,,,REDACTED,[]
36612710,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-06T07:00:00,2025-06-06T09:00:00,2025-06-05T18:35:30.36,,,REDACTED,[]
36618618,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-06T12:30:00,2025-06-06T14:30:00,2025-06-05T20:17:37.04,2025-06-06T13:03:32.237,,REDACTED,[]
36643711,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-06T12:30:00,2025-06-06T15:00:00,2025-06-06T14:23:48.61,,,REDACTED,[]
36650140,57948,Reserve Court: Singles,Court #3,REDACTED,False,2025-06-06T11:30:00,2025-06-06T12:30:00,2025-06-06T16:45:40.07,,,REDACTED,[]
36651994,57948,Reserve Court: Singles,Court #3,REDACTED,False,2025-06-06T13:30:00,2025-06-06T14:30:00,2025-06-06T17:25:38.34,,,REDACTED,[]
36654449,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-08T10:00:00,2025-06-08T12:00:00,2025-06-06T18:11:59.46,,,REDACTED,[]
36664568,52120,Reserve Court: Doubles,"Court #3, Court #4",REDACTED,False,2025-06-06T17:00:00,2025-06-06T19:00:00,2025-06-06T21:02:41.15,2025-06-06T18:12:55.213,,REDACTED,[]
36665761,57948,Reserve Court: Singles,Court #8,REDACTED,False,2025-06-07T14:00:00,2025-06-07T16:00:00,2025-06-06T21:26:54.71,,,REDACTED,[]
36665815,64158,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court #5,REDACTED,False,2025-06-06T17:30:00,2025-06-06T18:30:00,2025-06-06T21:28:47.7,2025-06-06T17:40:34.007,,REDACTED,[]
36667534,57948,Reserve Court: Singles,"Court #1, Court #2",REDACTED,False,2025-06-12T18:30:00,2025-06-12T19:30:00,2025-06-06T22:13:56.937,2025-06-12T19:01:38.22,,REDACTED,[]
36671637,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-09T20:00:00,2025-06-09T22:00:00,2025-06-06T23:53:12.747,2025-06-09T19:43:25.77,,REDACTED,[]
36672127,52120,Reserve Court: Doubles,Court #7,REDACTED,False,2025-06-08T07:00:00,2025-06-08T09:00:00,2025-06-07T00:09:26.23,2025-06-08T08:31:39.957,,REDACTED,[]
36673134,52120,Reserve Court: Doubles,Court #5,REDACTED,False,2025-06-07T07:00:00,2025-06-07T09:00:00,2025-06-07T00:47:53.693,2025-06-07T09:25:38.873,,REDACTED,[]
36674181,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-08T19:00:00,2025-06-08T21:00:00,2025-06-07T01:31:39.923,2025-06-08T19:47:46.907,,REDACTED,[]
